result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
80,duckduckgo,Boris Johnson,Boris Johnson Biography | Biography Online,https://www.biographyonline.net/politicians/uk/boris-johnson.html,Boris Johnson and Mayor of London. In July 2007,,,,
81,duckduckgo,Boris Johnson,Boris Johnson - Het Belang van Limburg - hbvl.be,https://www.hbvl.be/tag/boris-johnson,Bijna 30 procent van de Britten zou liever hebben dat premier Boris Johnson de wet breekt,,,,
82,duckduckgo,Boris Johnson,Boris Johnson y su peculiar familia | Gente y Famosos | EL PAÍS,https://elpais.com/elpais/2019/06/20/gente/1561044082_077521.html,Leo Johnson. En busca de la felicidad. Periodista,,,,
83,duckduckgo,Boris Johnson,Welkom in het land van premier Boris Johnson - fd.nl,https://fd.nl/weekend/1234039/welkom-in-het-land-van-premier-boris-johnson,Welkom in het land van premier Boris Johnson. Op het ongeloof van 2016 volgde het realisme van 2017: de brexit komt er echt. Hoe groot wordt de ramp voor het Verenigd Koninkrijk? Of blijft die ramp uit? FD-correspondent Mathijs Schiffers ziet naast de vele risico&#x27;s mogelijkheden voor een zachte landing en neemt ons mee naar het jaar 2021.,100,,,
84,duckduckgo,Boris Johnson,Boris Johnson krijgt nog eens deksel op de neus: &quot;Opschortin... - Het ...,https://www.nieuwsblad.be/cnt/dmf20190911_04602870,De beslissing van de Britse premier Boris Johnson om het parlement vijf weken lang op te schorten,,,,
85,duckduckgo,Boris Johnson,Broer Boris Johnson stopt als onderminister - msn.com,https://www.msn.com/nl-nl/nieuws/buitenland/broer-boris-johnson-stopt-als-onderminister/ar-AAGQzia,LONDEN (ANP) - De jongere broer van de Britse premier Boris Johnson,,,,
86,duckduckgo,Boris Johnson,Boris Johnson has four options to escape his Brexit mess. One of them ...,https://www.washingtonpost.com/world/europe/boris-johnson-has-four-options-to-escape-his-brexit-mess-one-of-them-is-to-go-to-jail/2019/09/08/1b56d7bc-d1ba-11e9-a620-0a91656d7db6_story.html,Sep-08,,,,
87,duckduckgo,Boris Johnson,boris johnson | De Morgen,https://www.demorgen.be/tag/boris-johnson,Het laatste nieuws met duiding van redacteuren,,,,
88,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://nds.wikipedia.org/wiki/Boris_Johnson,Boris Johnson is 1964 as dat eerste vun veer Kinner vun Stanley Johnson un siene eerste Fro Charlotte Johnson-Wahl in New York boren wurrn. Vunwegen,,,,
89,duckduckgo,Boris Johnson,Boris - Wikipedia,https://nl.wikipedia.org/wiki/Boris,Boris Jeltsin (1931-2007),,,,
90,duckduckgo,Boris Johnson,Who is Boris Johnson,,,,,,
91,duckduckgo,Boris Johnson,Boris Johnson&#x27;s &#x27;Explosive&#x27; Move to Get His Way on Brexit: Suspend ...,https://www.nytimes.com/2019/08/28/world/europe/boris-johnson-brexit-parliament.html,Aug-28,,,,
92,duckduckgo,Boris Johnson,Boris Johnson verliest zesde stemming op rij | De Tijd,https://www.tijd.be/dossier/europareeks/boris-johnson-verliest-zesde-stemming-op-rij/10161006.html,Het Britse parlement is dinsdagochtend vroeg voor vijf weken opgeschort,,,,
93,duckduckgo,Boris Johnson,The Empty Promise of Boris Johnson | The New Yorker,https://www.newyorker.com/magazine/2019/06/24/the-empty-promise-of-boris-johnson,In &quot;Political Sport and the Sport of Politics: A Psycho-Cultural Study of Play,,,,
94,duckduckgo,Boris Johnson,Onenigheid over brexit: ook minister Boris Johnson treedt af | RTLZ,https://www.rtlz.nl/algemeen/artikel/4278671/onenigheid-over-brexit-ook-minister-boris-johnson-treedt-af,Boris Johnson is afgetreden als minister van Buitenlandse Zaken. Hij doet dat na onenigheid in het kabinet over de brexit-strategie. Het is een nieuwe tegenslag voor ...,100,,,
95,duckduckgo,Boris Johnson,Boris Johnson creates 10,,,,,,
96,duckduckgo,Boris Johnson,Boris Johnson GIFs - Find &amp; Share on GIPHY,https://giphy.com/search/boris-johnson,Find GIFs with the latest and newest hashtags! Search,,,,
97,duckduckgo,Boris Johnson,Boris Johnson News - the latest from Al Jazeera,https://www.aljazeera.com/topics/people/boris-johnson.html,Boris Johnson 24 Sep 2019 20:38 GMT. UK: PM Johnson will be held to account vows Labour&#x27;s Corbyn &#x27;Unelected&#x27; prime minister should resign and become the shortest-serving leader in UK history,,,,
98,duckduckgo,Boris Johnson,Boris Johnson - from The i Newspaper online | inews.co.uk,https://inews.co.uk/tag/boris-johnson/,Boris Johnson makes peace with Osborne by backing Northern Powerhouse. 2 days ago. DUP deny report claiming party is ready to shift Brexit red lines. 2 ...,100,,,
99,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://de.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (* 19. Juni 1964 in New York City,,,,
